timestamp,site_id,scenario_id,phase,resource_id,metric,value,unit,threshold,status
2026-07-30T09:50:00+08:00,campus-5g,upf-overload,baseline,UPF-01,cpu_usage_pct,54,percent,85,normal
2026-07-30T09:50:00+08:00,campus-5g,upf-overload,baseline,slice-video,latency_ms,18,ms,30,normal
2026-07-30T09:50:00+08:00,campus-5g,upf-overload,baseline,slice-video,packet_loss_pct,0.2,percent,0.5,normal
2026-07-30T10:00:00+08:00,campus-5g,upf-overload,incident,UPF-01,cpu_usage_pct,94,percent,85,abnormal
2026-07-30T10:00:00+08:00,campus-5g,upf-overload,incident,slice-video,latency_ms,85,ms,30,abnormal
2026-07-30T10:00:00+08:00,campus-5g,upf-overload,incident,slice-video,packet_loss_pct,3.5,percent,0.5,abnormal
2026-07-30T10:00:00+08:00,campus-5g,upf-overload,incident,UPF-01,throughput_mbps,930,Mbps,850,abnormal
2026-07-30T10:05:00+08:00,campus-5g,upf-overload,post_repair,UPF-01,cpu_usage_pct,63,percent,85,normal
2026-07-30T10:05:00+08:00,campus-5g,upf-overload,post_repair,slice-video,latency_ms,22,ms,30,normal
2026-07-30T10:05:00+08:00,campus-5g,upf-overload,post_repair,slice-video,packet_loss_pct,0.4,percent,0.5,normal
2026-07-30T10:05:00+08:00,campus-5g,upf-overload,post_repair,UPF-01,throughput_mbps,610,Mbps,850,normal
2026-07-30T10:50:00+08:00,campus-5g,backhaul-link-down,baseline,gNodeB-03,attach_success_pct,98,percent,95,normal
2026-07-30T11:00:00+08:00,campus-5g,backhaul-link-down,incident,gNodeB-03,attach_success_pct,42,percent,95,abnormal
2026-07-30T11:00:00+08:00,campus-5g,backhaul-link-down,incident,LINK-03,availability_pct,0,percent,99.9,abnormal
2026-07-30T11:05:00+08:00,campus-5g,backhaul-link-down,post_repair,gNodeB-03,attach_success_pct,97,percent,95,normal
2026-07-30T11:05:00+08:00,campus-5g,backhaul-link-down,post_repair,LINK-03,availability_pct,100,percent,99.9,normal
2026-07-30T11:50:00+08:00,campus-5g,slice-capacity-shortage,baseline,slice-urllc,latency_ms,14,ms,20,normal
2026-07-30T11:50:00+08:00,campus-5g,slice-capacity-shortage,baseline,slice-urllc,packet_loss_pct,0.2,percent,0.5,normal
2026-07-30T12:00:00+08:00,campus-5g,slice-capacity-shortage,incident,slice-urllc,latency_ms,32,ms,20,abnormal
2026-07-30T12:00:00+08:00,campus-5g,slice-capacity-shortage,incident,slice-urllc,packet_loss_pct,1.8,percent,0.5,abnormal
2026-07-30T12:00:00+08:00,campus-5g,slice-capacity-shortage,incident,slice-urllc,bandwidth_utilization_pct,97,percent,90,abnormal
2026-07-30T12:05:00+08:00,campus-5g,slice-capacity-shortage,post_repair,slice-urllc,latency_ms,17,ms,20,normal
2026-07-30T12:05:00+08:00,campus-5g,slice-capacity-shortage,post_repair,slice-urllc,packet_loss_pct,0.3,percent,0.5,normal
2026-07-30T12:05:00+08:00,campus-5g,slice-capacity-shortage,post_repair,slice-urllc,bandwidth_utilization_pct,72,percent,90,normal
2026-07-30T12:50:00+08:00,campus-5g,alarm-storm-composite,baseline,UPF-01,cpu_usage_pct,55,percent,85,normal
2026-07-30T12:50:00+08:00,campus-5g,alarm-storm-composite,baseline,slice-video,latency_ms,20,ms,30,normal
2026-07-30T12:50:00+08:00,campus-5g,alarm-storm-composite,baseline,slice-video,packet_loss_pct,0.3,percent,0.5,normal
2026-07-30T12:50:00+08:00,campus-5g,alarm-storm-composite,baseline,UPF-01,throughput_mbps,820,Mbps,850,normal
2026-07-30T12:50:00+08:00,campus-5g,alarm-storm-composite,baseline,LINK-01,jitter_ms,2,ms,5,normal
2026-07-30T13:00:00+08:00,campus-5g,alarm-storm-composite,incident,UPF-01,cpu_usage_pct,96,percent,85,abnormal
2026-07-30T13:00:00+08:00,campus-5g,alarm-storm-composite,incident,slice-video,latency_ms,120,ms,30,abnormal
2026-07-30T13:00:00+08:00,campus-5g,alarm-storm-composite,incident,slice-video,packet_loss_pct,4.2,percent,0.5,abnormal
2026-07-30T13:00:00+08:00,campus-5g,alarm-storm-composite,incident,UPF-01,throughput_mbps,620,Mbps,850,abnormal
2026-07-30T13:00:00+08:00,campus-5g,alarm-storm-composite,incident,LINK-01,jitter_ms,15,ms,5,abnormal
2026-07-30T13:05:00+08:00,campus-5g,alarm-storm-composite,post_repair,UPF-01,cpu_usage_pct,60,percent,85,normal
2026-07-30T13:05:00+08:00,campus-5g,alarm-storm-composite,post_repair,slice-video,latency_ms,24,ms,30,normal
2026-07-30T13:05:00+08:00,campus-5g,alarm-storm-composite,post_repair,slice-video,packet_loss_pct,0.4,percent,0.5,normal
2026-07-30T13:05:00+08:00,campus-5g,alarm-storm-composite,post_repair,UPF-01,throughput_mbps,810,Mbps,850,normal
2026-07-30T13:05:00+08:00,campus-5g,alarm-storm-composite,post_repair,LINK-01,jitter_ms,3,ms,5,normal
